,Unnamed: 0,title,ingredients,directions,site,directions_text
39,39,Watermelon Rind Pickles,"('7 lb. watermelon rind', '7 c. sugar', '2 c. apple vinegar', '1/2 tsp. oil of cloves', '1/2 tsp. oil of cinnamon')","('Trim off green and pink parts of watermelon rind; cut to 1-inch cubes.', 'Parboil until tender, but not soft.', 'Drain. Combine sugar, vinegar, oil of cloves and oil of cinnamon; bring to boiling and pour over rind.', 'Let stand overnight.', 'In the morning, drain off syrup.', 'Heat and put over rind.', 'The third morning, heat rind and syrup; seal in hot, sterilized jars.', 'Makes 8 pints.', '(Oil of cinnamon and clove keeps rind clear and transparent.)')",www.cookbooks.com,"Trim off green and pink parts of watermelon rind; cut to 1-inch cubes.
Parboil until tender, but not soft.
Drain. Combine sugar, vinegar, oil of cloves and oil of cinnamon; bring to boiling and pour over rind.
Let stand overnight.
In the morning, drain off syrup.
Heat and put over rind.
The third morning, heat rind and syrup; seal in hot, sterilized jars.
Makes 8 pints.
(Oil of cinnamon and clove keeps rind clear and transparent.)"
40,40,Chicken Stew,"('3 lb. chicken, boiled', '4 medium potatoes, diced', '2 medium onions, chopped', '1 (16 oz.) can creamed corn', '1 (16 oz.) can English peas', '1 (16 oz.) can field peas', '1 (16 oz.) can butter beans', '1 (16 oz.) can tomatoes', '1 (46 oz.) can tomato juice', '1 small box macaroni', '1 Tbsp. black pepper', '1 Tbsp. salt', '1 Tbsp. sugar')","('Remove chicken from bone.', 'Use the broth.', 'Mix the vegetables and macaroni.', 'Add sugar, salt and black pepper.', 'Cook until all vegetables are tender over medium heat.')",www.cookbooks.com,"Remove chicken from bone.
Use the broth.
Mix the vegetables and macaroni.
Add sugar, salt and black pepper.
Cook until all vegetables are tender over medium heat."
41,41,Quick Coffee Cake(6 Servings)  ,"('3 Tbsp. softened butter or margarine', '1/2 c. granulated sugar', '1 egg', '1 c. flour', '1 1/4 tsp. baking powder', '1/4 tsp. salt', '1/3 c. milk', '1/4 tsp. vanilla', '1/3 c. brown sugar, packed', '1/2 tsp. cinnamon', '2 Tbsp. butter or margarine')","('Mix 3 tablespoons fat with granulated sugar.', 'Add egg and beat until creamy.', 'Mix flour, baking powder and salt thoroughly.', 'Add to sugar mixture alternately with milk.', 'Add vanilla. Spread batter evenly in a greased 8-inch square baking pan.', 'Mix brown sugar and cinnamon and sprinkle over batter.', 'Dot with 2 tablespoons fat.', 'Bake at 350° (moderate oven) for 25 to 30 minutes.')",www.cookbooks.com,"Mix 3 tablespoons fat with granulated sugar.
Add egg and beat until creamy.
Mix flour, baking powder and salt thoroughly.
Add to sugar mixture alternately with milk.
Add vanilla. Spread batter evenly in a greased 8-inch square baking pan.
Mix brown sugar and cinnamon and sprinkle over batter.
Dot with 2 tablespoons fat.
Bake at 350° (moderate oven) for 25 to 30 minutes."
42,42,Angel Biscuits,"('5 c. flour', '3 Tbsp. sugar', '4 tsp. baking powder', '1 1/2 pkg. dry yeast', '2 c. buttermilk', '1 tsp. soda', '1 1/2 sticks margarine', '1/2 c. warm water')","('Mix flour, sugar, baking powder, soda and salt together.', 'Cut in margarine, dissolve yeast in warm water.', 'Stir into buttermilk and add to dry mixture.', 'Cover and chill.')",www.cookbooks.com,"Mix flour, sugar, baking powder, soda and salt together.
Cut in margarine, dissolve yeast in warm water.
Stir into buttermilk and add to dry mixture.
Cover and chill."
43,43,Quick Peppermint Puffs,"('8 marshmallows', '2 Tbsp. margarine, melted', '1/4 c. crushed peppermint candy', '1 can crescent rolls')","('Dip marshmallows in melted margarine; roll in candy. Wrap a crescent triangle around each marshmallow, completely covering the marshmallow and square edges of dough tightly to seal.', 'Dip in margarine and place in a greased muffin tin.', 'Bake at 375° for 10 to 15 minutes; remove from pan.')",www.cookbooks.com,"Dip marshmallows in melted margarine; roll in candy. Wrap a crescent triangle around each marshmallow, completely covering the marshmallow and square edges of dough tightly to seal.
Dip in margarine and place in a greased muffin tin.
Bake at 375° for 10 to 15 minutes; remove from pan."
44,44,Fruit Pizza,"('1 box yellow cake mix', '1/4 c. water', '1/4 c. brown sugar', '1/2 c. soft butter', '2 eggs', '1/2 c. chopped nuts')","('Mix ingredients and spread into 2 greased pizza pans.', 'Bake at 350° for 15-20 minutes.')",www.cookbooks.com,"Mix ingredients and spread into 2 greased pizza pans.
Bake at 350° for 15-20 minutes."
45,45,Chocolate Mint Bars,"('1 c. flour', '1 c. sugar', '1/2 c. oleo, softened', '4 eggs', '1 can chocolate syrup')","('Mix together and bake in 9 x 13-inch pan at 350° for 25 to 30 minutes.', 'Top should spring back when touched lightly; do not overbake.', 'Cool completely, then spread with mint layer.')",www.cookbooks.com,"Mix together and bake in 9 x 13-inch pan at 350° for 25 to 30 minutes.
Top should spring back when touched lightly; do not overbake.
Cool completely, then spread with mint layer."
46,46,Beer Bread,"('3 c. self rising flour', '1 - 12 oz. can beer', '1 Tbsp. sugar')","('Stir the ingredients together and put in a greased and floured loaf pan.', 'Bake at 425 degrees for 50 minutes.', 'Drizzle melted butter on top.')",www.cookbooks.com,"Stir the ingredients together and put in a greased and floured loaf pan.
Bake at 425 degrees for 50 minutes.
Drizzle melted butter on top."
47,47,Chicken Divan,"('1/4 c. margarine', '1/4 c. chopped onion (or as much as you want)', 'chopped celery to taste', '1/4 c. flour', '1/8 tsp. curry powder', '1 can sliced mushrooms (save juice)', '1 can cream of celery soup', '1 pkg. chopped broccoli', '1 cubed chicken', 'shredded Monterey Jack cheese')","('Melt margarine in skillet; saute onions and celery.', 'Remove from heat.', 'Stir in flour and curry powder.', 'Drain mushrooms and keep juice.', 'Add water to juice to make 1/2 cup liquid.', 'Stir liquid and soup into flour mixture; add mushrooms.', 'Cook until thick.', 'Arrange broccoli and cubed chicken in a large baking dish. Spoon sauce over chicken.', 'Top with grated cheese.', 'Bake in a 350° oven for about 20 minutes or in microwave until cheese is melted.')",www.cookbooks.com,"Melt margarine in skillet; saute onions and celery.
Remove from heat.
Stir in flour and curry powder.
Drain mushrooms and keep juice.
Add water to juice to make 1/2 cup liquid.
Stir liquid and soup into flour mixture; add mushrooms.
Cook until thick.
Arrange broccoli and cubed chicken in a large baking dish. Spoon sauce over chicken.
Top with grated cheese.
Bake in a 350° oven for about 20 minutes or in microwave until cheese is melted."
48,48,Mexican Cookie Rings,"('1 1/2 c. sifted flour', '1/2 tsp. baking powder', '1/2 tsp. salt', '1/2 c. butter', '2/3 c. sugar', '3 egg yolks', '1 tsp. vanilla', 'multi-colored candies')","('Sift flour, baking powder and salt together.', 'Cream together butter and sugar.', 'Add egg yolks and vanilla.', 'Beat until light and fluffy.', 'Mix in sifted dry ingredients.', 'Shape into 1-inch balls.', 'Push wooden spoon handle through center (twist).', 'Shape into rings.', 'Dip each cookie into candies.', 'Place on lightly greased baking sheets.', 'Bake in 375° oven for 10 to 12 minutes or until golden brown.', 'Cool on racks.', 'Serves 2 dozen.')",www.cookbooks.com,"Sift flour, baking powder and salt together.
Cream together butter and sugar.
Add egg yolks and vanilla.
Beat until light and fluffy.
Mix in sifted dry ingredients.
Shape into 1-inch balls.
Push wooden spoon handle through center (twist).
Shape into rings.
Dip each cookie into candies.
Place on lightly greased baking sheets.
Bake in 375° oven for 10 to 12 minutes or until golden brown.
Cool on racks.
Serves 2 dozen."
49,49,Vegetable-Burger Soup,"('1/2 lb. ground beef', '2 c. water', '1 tsp. sugar', '1 pkg. Cup-a-Soup onion soup mix (dry)', '1 lb. can stewed tomatoes', '1 (8 oz.) can tomato sauce', '1 (10 oz.) pkg. frozen mixed vegetables')","('Lightly brown beef in soup pot.', 'Drain off excess fat.', 'Stir in tomatoes, tomato sauce, water, frozen vegetables, soup mix and sugar.', 'Bring to a boil.', 'Reduce heat and simmer for 20 minutes. Serve.')",www.cookbooks.com,"Lightly brown beef in soup pot.
Drain off excess fat.
Stir in tomatoes, tomato sauce, water, frozen vegetables, soup mix and sugar.
Bring to a boil.
Reduce heat and simmer for 20 minutes. Serve."
